time,min_pressure,min_chlorine,energy,runtime_sec
0,-1.2939452744831215e-06,0.0,121.8004845106046,13.972097873687744
1,-1.2939452744831215e-06,0.0,65.09838239345076,16.599954843521118
2,-1.2939452744831215e-06,0.0,87.83045943061263,16.49110722541809
3,-1.2939452744831215e-06,0.0,79.43095334322143,16.63605308532715
4,-1.2939452744831215e-06,0.0,27.265967199424654,16.564881086349487
5,-1.2939452744831215e-06,0.0,48.174697539804455,16.535730123519897
6,-1.2939452744831215e-06,0.0,100.32703372620259,16.496943712234497
7,-1.2939452744831215e-06,0.0,47.888647928940244,16.630794763565063
8,-1.2939452744831215e-06,0.0,79.33515649287033,16.51022744178772
9,-1.2939452744831215e-06,0.0,80.3682353430907,16.648094177246094
10,-1.2939452744831215e-06,0.0,121.5427967342525,16.54390788078308
11,-1.2939452744831215e-06,0.0,79.00578520195663,16.60147523880005
12,-1.2939452744831215e-06,0.0,121.36775737800693,16.437209367752075
13,-1.2939452744831215e-06,0.0,99.92624915311247,16.519087553024292
14,-1.2939452744831215e-06,0.0,121.46113507977135,16.445037603378296
15,-1.2939452744831215e-06,0.0,99.97051021828698,16.614830017089844
16,-1.2939452744831215e-06,0.0,100.35826777607178,15.375486850738525
17,-1.2939452744831215e-06,0.0,100.77073678717932,16.51857042312622
18,-1.2939452744831215e-06,0.0,121.9765814601256,16.77691888809204
19,-1.2939452744831215e-06,0.0,100.99308805651923,16.545796871185303
20,-1.2939452744831215e-06,0.0,121.12594065838323,16.526803255081177
21,-1.2939452744831215e-06,0.0,79.82889814406337,16.588138103485107
22,-1.2939452744831215e-06,0.0,121.32655413964738,16.6267192363739
23,-1.2939452744831215e-06,0.0,80.04138947113961,16.603046894073486
